n:82 mse_avg:299.46 mse_y:442.34 mse_u:8.85 mse_v:18.53 psnr_avg:23.37 psnr_y:21.67 psnr_u:38.66 psnr_v:35.45 
n:83 mse_avg:300.94 mse_y:444.83 mse_u:8.80 mse_v:17.51 psnr_avg:23.35 psnr_y:21.65 psnr_u:38.69 psnr_v:35.70 
n:84 mse_avg:313.26 mse_y:463.45 mse_u:8.67 mse_v:17.11 psnr_avg:23.17 psnr_y:21.47 psnr_u:38.75 psnr_v:35.80 
n:85 mse_avg:328.19 mse_y:485.87 mse_u:8.31 mse_v:17.35 psnr_avg:22.97 psnr_y:21.27 psnr_u:38.94 psnr_v:35.74 
n:86 mse_avg:329.63 mse_y:488.16 mse_u:8.40 mse_v:16.76 psnr_avg:22.95 psnr_y:21.25 psnr_u:38.89 psnr_v:35.89 
n:87 mse_avg:329.58 mse_y:487.96 mse_u:8.47 mse_v:17.19 psnr_avg:22.95 psnr_y:21.25 psnr_u:38.85 psnr_v:35.78 
n:88 mse_avg:341.85 mse_y:506.00 mse_u:8.72 mse_v:18.35 psnr_avg:22.79 psnr_y:21.09 psnr_u:38.73 psnr_v:35.49 
n:89 mse_avg:345.95 mse_y:512.41 mse_u:8.60 mse_v:17.45 psnr_avg:22.74 psnr_y:21.03 psnr_u:38.79 psnr_v:35.71 
n:90 mse_avg:352.15 mse_y:521.63 mse_u:8.71 mse_v:17.66 psnr_avg:22.66 psnr_y:20.96 psnr_u:38.73 psnr_v:35.66 
n:91 mse_avg:346.73 mse_y:513.66 mse_u:8.66 mse_v:17.11 psnr_avg:22.73 psnr_y:21.02 psnr_u:38.75 psnr_v:35.80 
n:92 mse_avg:355.47 mse_y:526.17 mse_u:9.49 mse_v:18.66 psnr_avg:22.62 psnr_y:20.92 psnr_u:38.36 psnr_v:35.42 
n:93 mse_avg:349.12 mse_y:516.26 mse_u:10.15 mse_v:19.54 psnr_avg:22.70 psnr_y:21.00 psnr_u:38.06 psnr_v:35.22 
n:94 mse_avg:377.27 mse_y:558.41 mse_u:9.84 mse_v:20.14 psnr_avg:22.36 psnr_y:20.66 psnr_u:38.20 psnr_v:35.09 
n:95 mse_avg:400.06 mse_y:592.15 mse_u:10.18 mse_v:21.55 psnr_avg:22.11 psnr_y:20.41 psnr_u:38.05 psnr_v:34.80 
n:96 mse_avg:405.94 mse_y:600.50 mse_u:10.75 mse_v:22.87 psnr_avg:22.05 psnr_y:20.35 psnr_u:37.82 psnr_v:34.54 
n:97 mse_avg:394.54 mse_y:584.08 mse_u:10.34 mse_v:20.57 psnr_avg:22.17 psnr_y:20.47 psnr_u:37.98 psnr_v:35.00 
n:98 mse_avg:395.50 mse_y:585.75 mse_u:10.24 mse_v:19.75 psnr_avg:22.16 psnr_y:20.45 psnr_u:38.03 psnr_v:35.18 
n:99 mse_avg:378.77 mse_y:561.36 mse_u:9.46 mse_v:17.74 psnr_avg:22.35 psnr_y:20.64 psnr_u:38.37 psnr_v:35.64 
n:100 mse_avg:355.71 mse_y:527.11 mse_u:9.54 mse_v:16.24 psnr_avg:22.62 psnr_y:20.91 psnr_u:38.34 psnr_v:36.02 
n:101 mse_avg:336.89 mse_y:499.15 mse_u:9.48 mse_v:15.29 psnr_avg:22.86 psnr_y:21.15 psnr_u:38.36 psnr_v:36.29 
n:102 mse_avg:355.02 mse_y:525.60 mse_u:10.44 mse_v:17.29 psnr_avg:22.63 psnr_y:20.92 psnr_u:37.94 psnr_v:35.75 
n:103 mse_avg:390.41 mse_y:577.67 mse_u:11.84 mse_v:19.93 psnr_avg:22.22 psnr_y:20.51 psnr_u:37.40 psnr_v:35.14 
n:104 mse_avg:423.77 mse_y:626.85 mse_u:12.85 mse_v:22.35 psnr_avg:21.86 psnr_y:20.16 psnr_u:37.04 psnr_v:34.64 
n:105 mse_avg:449.31 mse_y:664.74 mse_u:13.61 mse_v:23.28 psnr_avg:21.61 psnr_y:19.90 psnr_u:36.79 psnr_v:34.46 
n:106 mse_avg:460.93 mse_y:681.50 mse_u:14.38 mse_v:25.20 psnr_avg:21.49 psnr_y:19.80 psnr_u:36.55 psnr_v:34.12 
n:107 mse_avg:461.03 mse_y:681.92 mse_u:14.04 mse_v:24.49 psnr_avg:21.49 psnr_y:19.79 psnr_u:36.66 psnr_v:34.24 
n:108 mse_avg:461.68 mse_y:682.94 mse_u:14.32 mse_v:23.96 psnr_avg:21.49 psnr_y:19.79 psnr_u:36.57 psnr_v:34.34 
n:109 mse_avg:402.40 mse_y:594.61 mse_u:14.32 mse_v:21.65 psnr_avg:22.08 psnr_y:20.39 psnr_u:36.57 psnr_v:34.78 
n:110 mse_avg:388.13 mse_y:572.85 mse_u:15.08 mse_v:22.30 psnr_avg:22.24 psnr_y:20.55 psnr_u:36.35 psnr_v:34.65 
n:111 mse_avg:439.55 mse_y:649.24 mse_u:15.63 mse_v:24.72 psnr_avg:21.70 psnr_y:20.01 psnr_u:36.19 psnr_v:34.20 
n:112 mse_avg:451.29 mse_y:666.38 mse_u:16.16 mse_v:26.02 psnr_avg:21.59 psnr_y:19.89 psnr_u:36.05 psnr_v:33.98 
n:113 mse_avg:403.61 mse_y:595.63 mse_u:15.56 mse_v:23.62 psnr_avg:22.07 psnr_y:20.38 psnr_u:36.21 psnr_v:34.40 
n:114 mse_avg:456.80 mse_y:674.83 mse_u:15.50 mse_v:25.94 psnr_avg:21.53 psnr_y:19.84 psnr_u:36.23 psnr_v:33.99 
